name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score,early_expected_total_r,early_trades_per_month,early_r_ratio,late_expected_total_r,late_trades_per_month,late_r_ratio,segment_floor,stress_expected_total_r,stress_profit_factor,stress_max_drawdown_pct,stress_r_delta,stress_dd_ratio,both_is_halves_90pct,stress_improved,validation_score
risk__thursday_mult_0p75,calendar_risk,251.35706008280337,29289.46,56.37855113636363,1.8634090576787932,0.11121393494041502,52.89860564273903,2418.340000000007,55.29479166666667,3.2168707832209016,0.019483890908964605,True,True,False,0.9828366902254767,51.911898991907435,48.332074175824175,0.7849143324732267,201.42147863390736,63.83794247787611,1.014066971740057,0.7849143324732267,-16.498906527467298,0.5407153713648798,0.11331699999999964,1.0620689655172555,0.921096696579532,False,True,1.1937599473041538
selection__long_count_30,selection_expansion,253.55942595571517,31768.190000000006,57.41619318181818,1.872678870216166,0.11966696439147402,53.42150129379199,2666.7400000000066,54.7875,3.3748897933012265,0.01982077312819845,True,True,False,1.013863009089928,55.77700474828414,47.830357142857146,0.843355209490224,196.13811122924574,66.53152654867257,0.98746758213686,0.843355209490224,-17.560975492984554,0.5208674113193437,0.12302399999999925,0.0,1.0,False,False,1.1897396696203046
risk__industrials_mult_025,sector_risk,263.08593222301295,30966.68,55.816495028409086,1.893261541674527,0.11942598939286705,49.67576122961951,2551.0900000000074,54.7875,3.278939093459128,0.019530660680310036,True,True,False,0.9877786587373656,66.13702520673253,47.830357142857146,1.0,199.04921929108184,63.389011799410035,1.0021237079715815,1.0,-17.560975492984554,0.5208674113193437,0.12302399999999925,0.0,1.0,True,False,1.1878848441359446
combo_balanced__geom125__adx15,balanced_geometry_combination,254.63143284232757,31734.719999999994,55.12473366477273,1.9201744852950549,0.11257307836880368,53.069385853890644,2591.6600000000058,53.265625,3.6101135024624194,0.019708121207132053,True,True,False,1.0105963714725077,63.601338777765804,47.32864010989011,0.9616601076168663,195.23220851702956,62.401364306784664,0.9829067675390393,0.9616601076168663,-18.056397757293844,0.5301410842058448,0.11622900000000026,-0.4954222643092905,0.9447668747561531,True,False,1.1841738354196178
geometry__entry_range_cap_1p25,signal_geometry,258.12061040095216,31197.35,54.865323153409086,1.9126608811143597,0.11450989057807837,53.72723867325986,2589.880000000006,53.77291666666667,3.546037238748757,0.019736384488093145,True,True,False,1.0125707969483346,62.60094016454675,47.245020604395606,0.94653395687011,187.38966189606504,62.670722713864315,0.9434230562854524,0.9434230562854524,-18.05639775729384,0.5203024454337343,0.11755900000000019,-0.49542226430928693,0.9555777734425878,True,False,1.1815940626622865
score__adx_threshold_12,score_discrimination,260.2361711707621,31682.99,56.03267045454545,1.9124494103477778,0.11792133745651437,50.52097479706599,2591.410000000007,55.29479166666667,3.387010307379141,0.019733757837091515,True,True,False,1.0002402620396746,57.03146647003891,48.081215659340664,0.8623228258569043,194.4290635038096,64.01751474926255,0.9788632919526825,0.8623228258569043,-17.560975492984554,0.5344550290733637,0.12041599999999998,0.0,0.9788008843802893,False,False,1.1785318505158444
score__adx_threshold_15,score_discrimination,258.1286486470419,31823.980000000003,56.46502130681818,1.9037183273135574,0.11727769398035721,50.52097479706599,2616.070000000007,55.29479166666667,3.399359820970006,0.019689481380962277,True,True,False,1.0016353472216912,56.27327631405288,48.16483516483517,0.8508588969363631,193.6489740603275,64.28687315634218,0.9749358908383452,0.8508588969363631,-17.560975492984554,0.5352819113788558,0.12026299999999993,0.0,0.9775572246065862,False,False,1.178010976304063
selection__long_count_25,selection_expansion,257.7344665001673,31492.24000000001,56.85413707386363,1.8765692368071658,0.11966696439147402,52.15752574066969,2553.3500000000063,54.280208333333334,3.289117201438022,0.019707817013909418,True,True,False,0.9979983593374087,55.024983496262905,47.830357142857146,0.8319845551605116,192.9819594993195,66.35195427728614,0.9715777711354444,0.8319845551605116,-17.560975492984554,0.5208674113193437,0.12302399999999925,0.0,1.0,False,False,1.1713749311682577
quality__size_floor_0p8,signal_quality_sizing,247.27233515638852,30336.7,56.292080965909086,1.89340574810403,0.11877677247131348,51.15492228582386,2664.3200000000065,55.802083333333336,3.4740184971957233,0.019742375320103506,True,True,False,1.0003842449966436,53.40342608122768,48.332074175824175,0.8074664065143254,192.51885075565886,64.01751474926255,0.9692462259375073,0.8074664065143254,-17.560975492984554,0.5281687292728302,0.1166649999999996,0.0,0.9483108986864378,False,False,1.1699665172706677
time__late1030_score5,time_discrimination,258.6457300189957,30244.410000000003,54.260031960227266,1.9067361210004423,0.12224427670390658,47.69923510806449,2407.430000000007,53.265625,3.230609578696727,0.019389243621569158,True,True,False,0.9563143547948653,67.792703014401,47.32864010989011,1.0250340532023192,195.91235665857164,61.4137168141593,0.9863310089402346,0.9863310089402346,-17.229762513586458,0.508583959899749,0.12548799999999954,0.3312129793980958,1.020028612303293,True,False,1.1671619389876766
