name,group,eligible,oos_trades,oos_pf,oos_avg_r,oos_net_r,oos_trades_delta,oos_net_r_delta,is_trades,is_pf,is_avg_r,is_net_r,is_trades_delta,is_net_r_delta,patch
sweep_daily_min_score_50p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_daily_signal_min_score"": 50.0}"
sweep_daily_min_score_52p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_daily_signal_min_score"": 52.0}"
sweep_open_min_score_40p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_open_scored_min_score"": 40.0}"
sweep_open_min_score_50p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_open_scored_min_score"": 50.0}"
sweep_open_min_score_55p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_open_scored_min_score"": 55.0}"
routes_afternoon_on,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.872,0,-0.061,"{""param_overrides.pb_v2_afternoon_retest_enabled"": true}"
prefix_07_p4_stale_bars_4_mfe_008,accepted_prefix,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.829,0,-0.103,"{""param_overrides.pb_v2_stale_bars"": 4, ""param_overrides.pb_v2_stale_mfe_thresh"": 0.08}"
rollback_routes_on,accepted_rollback,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.829,0,-0.103,"{""param_overrides.pb_v2_afternoon_retest_enabled"": true, ""param_overrides.pb_v2_vwap_bounce_enabled"": true}"
sweep_delayed_score_47p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,953,1.707,0.108,102.802,-2,-0.131,"{""param_overrides.pb_delayed_confirm_score_min"": 47.0}"
sweep_flow_lookback_3,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.703,0.107,102.508,0,-0.424,"{""param_overrides.pb_open_scored_flow_reversal_lookback"": 3}"
