[alpha-repair] evaluating round4 and round5 baselines
[alpha-repair] running full cohort diagnostics
[alpha-repair] round5 IS=164 +78.90R PF=2.08; OOS=7 +6.36R PF=3.11; evaluating 893 candidates
[alpha-repair] 76/893 native_targeted/target_finetune_SCORE_NORMAL_m10 score=+1.217 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 77/893 native_targeted/target_finetune_SCORE_NORMAL_p10 score=-5.938 IS=142 +72.4R PF=2.10 OOS=3 -0.1R PF=0.96 strict=False repair=False
[alpha-repair] 78/893 native_targeted/target_finetune_RVOL_SCORE_THRESH_m10 score=+0.357 IS=167 +78.3R PF=2.05 OOS=7 +5.6R PF=2.85 strict=False repair=False
[alpha-repair] 79/893 native_targeted/target_finetune_RVOL_SCORE_THRESH_p10 score=-1.959 IS=157 +75.7R PF=2.11 OOS=6 +3.2R PF=2.06 strict=False repair=False
[alpha-repair] 80/893 native_targeted/target_finetune_MIN_BOX_WIDTH_m10 score=+1.217 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 81/893 native_targeted/target_finetune_MIN_BOX_WIDTH_p10 score=+1.217 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 82/893 native_targeted/target_finetune_MIN_INTER_TRADE_GAP_MINUTES_p50 score=+0.392 IS=156 +58.5R PF=1.78 OOS=6 +7.4R PF=4.67 strict=False repair=False
[alpha-repair] 83/893 native_targeted/target_finetune_TP1_R_m05 score=+0.005 IS=165 +76.2R PF=2.05 OOS=7 +5.4R PF=2.80 strict=False repair=False
[alpha-repair] 84/893 native_targeted/target_finetune_TP1_R_p05 score=-1.343 IS=163 +64.2R PF=1.82 OOS=7 +6.5R PF=3.16 strict=False repair=False
[alpha-repair] 85/893 native_targeted/target_finetune_TP1_PARTIAL_PCT_m10 score=+1.217 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 86/893 native_targeted/target_finetune_TP1_PARTIAL_PCT_p10 score=+0.173 IS=164 +76.5R PF=2.05 OOS=7 +5.6R PF=2.85 strict=False repair=False
[alpha-repair] 87/893 neutral_threshold/neutral_nrm_2p1 score=+0.476 IS=173 +75.2R PF=1.96 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 88/893 neutral_c_offset/neutral_nrm_2p1_c_0p236 score=-0.450 IS=171 +75.3R PF=1.98 OOS=7 +5.2R PF=2.74 strict=False repair=False
[alpha-repair] 89/893 neutral_exit_grid/neutral_nrm_2p1_c_0p236_tp1_1p45 score=-1.525 IS=177 +72.8R PF=1.93 OOS=7 +4.5R PF=2.49 strict=False repair=False
[alpha-repair] 90/893 neutral_exit_grid/neutral_nrm_2p1_c_0p236_tp1_1p55 score=-0.865 IS=173 +77.0R PF=2.00 OOS=7 +4.5R PF=2.50 strict=False repair=False
[alpha-repair] 91/893 neutral_exit_grid/neutral_nrm_2p1_c_0p236_tp1_1p7 score=+0.018 IS=172 +77.9R PF=1.99 OOS=7 +5.4R PF=2.81 strict=False repair=False
[alpha-repair] 92/893 neutral_exit_grid/neutral_nrm_2p1_c_0p236_tp1_1p8 score=-1.407 IS=171 +68.9R PF=1.84 OOS=7 +5.8R PF=2.93 strict=False repair=False
[alpha-repair] 93/893 neutral_c_offset/neutral_nrm_2p1_c_0p248 score=-0.381 IS=171 +73.8R PF=1.96 OOS=7 +5.6R PF=2.85 strict=False repair=False
[alpha-repair] 94/893 neutral_exit_grid/neutral_nrm_2p1_c_0p248_tp1_1p55 score=-0.229 IS=173 +75.4R PF=1.98 OOS=7 +5.5R PF=2.82 strict=False repair=False
[alpha-repair] 95/893 neutral_exit_grid/neutral_nrm_2p1_c_0p248_tp1_1p45 score=+0.008 IS=176 +73.7R PF=1.94 OOS=7 +6.1R PF=3.02 strict=False repair=False
[alpha-repair] 96/893 neutral_exit_grid/neutral_nrm_2p1_c_0p248_tp1_1p7 score=-1.287 IS=172 +65.2R PF=1.79 OOS=7 +6.6R PF=3.17 strict=False repair=False
[alpha-repair] 97/893 neutral_exit_grid/neutral_nrm_2p1_c_0p252_tp1_1p45 score=-0.558 IS=176 +69.9R PF=1.88 OOS=7 +6.1R PF=3.02 strict=False repair=False
[alpha-repair] 98/893 neutral_exit_grid/neutral_nrm_2p1_c_0p248_tp1_1p8 score=-0.791 IS=171 +67.4R PF=1.82 OOS=7 +6.7R PF=3.24 strict=False repair=False
