cohort,split,trades,pnl_dollars,total_r,avg_r,median_r,win_rate,profit_factor_r,avg_mfe_r,avg_mae_r,excellent_trades,excellent_rate,never_worked_rate,low_mfe_loss_rate,right_then_lost_rate,top1_win_r_share,top5_win_r_share,symbol,direction,grade,entry_hour_et,entry_model,exit_reason,month
split_month_symbol,oos,1,1341.900000000041,0.8185443480826846,0.8185443480826846,0.8185443480826846,1.0,0.8185443480826846,2.4166547419583457,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,,2026-02
split_month_symbol,oos,1,2682.1299999999756,1.931345212619558,1.931345212619558,1.931345212619558,1.0,1.931345212619558,2.946001185913228,0.730311218356611,1,1.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,,2026-03
split_month_symbol,oos,4,5802.599999999992,3.5244330487592004,0.8811082621898001,1.1323603687506993,0.75,4.417641870866141,2.3535655665673434,0.7760750217041193,3,0.75,0.0,0.25,0.0,0.5028797686701124,1.0,GLD,,,,,,2026-04
split_month_symbol,train,1,-1447.8000000000989,-1.1371496900577733,-1.1371496900577733,-1.1371496900577733,0.0,0.0,0.22742993801154776,1.2129596693948497,0,0.0,1.0,1.0,0.0,0.0,0.0,GLD,,,,,,2021-04
split_month_symbol,train,2,-3792.0699999999633,-2.1783508185554195,-1.0891754092777097,-1.0891754092777097,0.0,0.0,0.0,1.198936213780431,0,0.0,1.0,1.0,0.0,0.0,0.0,GLD,,,,,,2021-05
split_month_symbol,train,1,410.71999999995575,0.41636647501378693,0.41636647501378693,0.41636647501378693,1.0,0.41636647501378693,1.1832565088158888,0.525891781696006,1,1.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,,2021-06
split_month_symbol,train,7,-4244.790000000159,-3.008487242210864,-0.4297838917444091,-1.0661040412630134,0.42857142857142855,0.649109892608067,2.53060478192103,1.8606426520491763,3,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.3918532323450883,1.0,GLD,,,,,,2021-07
split_month_symbol,train,1,-1933.0400000000723,-1.0439247203841804,-1.0439247203841804,-1.0439247203841804,0.0,0.0,0.0,1.2012284453735376,0,0.0,1.0,1.0,0.0,0.0,0.0,GLD,,,,,,2021-08
split_month_symbol,train,1,1884.9800000000223,1.6897234796715175,1.6897234796715175,1.6897234796715175,1.0,1.6897234796715175,4.436794801748232,0.29121819162046664,1,1.0,0.0,0.0,0.0,1.0,1.0,QQQ,,,,,,2021-08
split_month_symbol,train,3,2872.729999999867,2.834206100024187,0.944735366674729,0.8735637001379782,1.0,2.834206100024187,3.3996777265147835,0.4572351155523153,3,1.0,0.0,0.0,0.0,0.643430347059723,1.0,GLD,,,,,,2021-09
split_month_symbol,train,1,729.7100000000078,1.0550198644456983,1.0550198644456983,1.0550198644456983,1.0,1.0550198644456983,1.8464112708970735,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,,2021-10
split_month_symbol,train,2,636.4399999999805,0.2938179859529193,0.14690899297645965,0.14690899297645965,0.5,1.2882355289283036,1.937977491615105,0.5950903284583999,1,0.5,0.0,0.5,0.0,1.0,1.0,QQQ,,,,,,2021-10
split_month_symbol,train,2,8688.32999999984,6.575953893357058,3.287976946678529,3.287976946678529,1.0,6.575953893357058,7.261194033644818,0.4832309162467641,2,1.0,0.0,0.0,0.0,0.5501682226032637,1.0,GLD,,,,,,2021-11
split_month_symbol,train,1,796.9099999999685,1.1588292341941338,1.1588292341941338,1.1588292341941338,1.0,1.1588292341941338,3.078282387689144,0.7874675875484709,1,1.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,,2021-12
split_month_symbol,train,3,-3249.8899999999107,-1.1922193452222485,-0.3974064484074162,-1.0208028352003415,0.3333333333333333,0.41632303690942907,0.9911946254151908,0.7855379422208388,1,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,QQQ,,,,,,2021-12
split_month_symbol,train,1,654.4299999999118,0.6383094722024465,0.6383094722024465,0.6383094722024465,1.0,0.6383094722024465,1.7492135512632763,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,,2022-01
split_month_symbol,train,2,3231.3900000000117,1.5119942679403833,0.7559971339701916,0.7559971339701916,1.0,1.5119942679403833,1.1006006535411386,0.31730817089913904,2,1.0,0.0,0.0,0.0,0.5098268320146222,1.0,QQQ,,,,,,2022-01
split_month_symbol,train,2,-1528.2900000001011,-2.5621124515701688,-1.2810562257850844,-1.2810562257850844,0.0,0.0,0.0,1.3774900469589662,0,0.0,1.0,1.0,0.0,0.0,0.0,GLD,,,,,,2022-02
split_month_symbol,train,1,3709.58499999999,1.4226177959990567,1.4226177959990567,1.4226177959990567,1.0,1.4226177959990567,4.262961873181382,0.6577141175765636,1,1.0,0.0,0.0,0.0,1.0,1.0,QQQ,,,,,,2022-02
split_month_symbol,train,3,13690.97999999997,5.832103367142178,1.9440344557140594,1.8810298528776213,1.0,5.832103367142178,3.505552829638496,0.4478298546920693,3,1.0,0.0,0.0,0.0,0.3570476461082797,1.0,GLD,,,,,,2022-03
split_month_symbol,train,2,5527.030000000039,2.482577842950153,1.2412889214750764,1.2412889214750764,1.0,2.482577842950153,2.6628131209115424,0.36486609394982367,2,1.0,0.0,0.0,0.0,0.6403004194133509,1.0,QQQ,,,,,,2022-03
split_month_symbol,train,3,-4481.210000000165,-3.4387119042117833,-1.1462373014039278,-1.1395742004897482,0.0,0.0,0.17813042029773926,1.4591056869046841,0,0.0,1.0,1.0,0.0,0.0,0.0,GLD,,,,,,2022-04
split_month_symbol,train,1,-3166.5300000000857,-1.019438136947383,-1.019438136947383,-1.019438136947383,0.0,0.0,0.5125988372221086,1.013678599450505,0,0.0,0.0,1.0,0.0,0.0,0.0,QQQ,,,,,,2022-05
split_month_symbol,train,4,4440.80000000004,4.804229960967945,1.2010574902419862,1.3783155573324213,0.75,5.426690898819357,4.393921706218249,0.6344736317419036,3,0.75,0.25,0.25,0.0,0.5319427474099755,1.0,GLD,,,,,,2022-06
split_month_symbol,train,2,11005.150000000005,3.4476536951423906,1.7238268475711953,1.7238268475711953,1.0,3.4476536951423906,3.3835794883312,0.07161565775543365,2,1.0,0.0,0.0,0.0,0.7691244793617215,1.0,QQQ,,,,,,2022-06
split_month_symbol,train,4,214.3799999996586,-0.8652734215821816,-0.2163183553955454,-1.0819603672572742,0.25,0.7408490275409361,2.012949126015827,1.8305838124458502,1,0.25,0.25,0.5,0.25,1.0,1.0,GLD,,,,,,2022-07
split_month_symbol,train,1,1552.4399999999168,0.5745116927679399,0.5745116927679399,0.5745116927679399,1.0,0.5745116927679399,1.4419116994960526,0.9913142934035521,1,1.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,,2022-08
split_month_symbol,train,3,-8781.53000000014,-3.319652681297864,-1.1065508937659547,-1.1145107789600337,0.0,0.0,0.3407356775397396,1.0892861848796282,0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,GLD,,,,,,2022-09
split_month_symbol,train,2,5040.580000000091,2.2833818832062294,1.1416909416031147,1.1416909416031147,1.0,2.2833818832062294,2.024189456288949,0.12174634407105245,2,1.0,0.0,0.0,0.0,0.6520859841369139,1.0,QQQ,,,,,,2022-09
split_month_symbol,train,3,653.9799999998968,0.35359053089353587,0.1178635102978453,1.1611085547635696,0.6666666666666666,1.1505086429149025,2.7358478143736704,1.3971655940262167,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.570420297376451,1.0,GLD,,,,,,2022-10
split_month_symbol,train,4,37888.74999999899,31.388851166031507,7.847212791507877,1.4454501503202477,0.75,26.88563316430377,17.983804498186554,0.6522606717324516,3,0.75,0.0,0.0,0.25,0.9113260168230047,1.0,GLD,,,,,,2022-11
split_month_symbol,train,1,1184.260000000058,0.2133049016999722,0.2133049016999722,0.2133049016999722,1.0,0.2133049016999722,1.584550698342518,1.157940894942636,0,0.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,,2022-12
split_month_symbol,train,2,27094.449999999477,5.619595727329839,2.8097978636649197,2.8097978636649197,1.0,5.619595727329839,6.189567780791785,0.6635652915482942,1,0.5,0.0,0.0,0.0,0.7111791709428735,1.0,GLD,,,,,,2023-03
split_month_symbol,train,1,22463.689999999617,1.2052223430604248,1.2052223430604248,1.2052223430604248,1.0,1.2052223430604248,2.2184123034300285,0.12324512796835438,1,1.0,0.0,0.0,0.0,1.0,1.0,QQQ,,,,,,2023-03
split_month_symbol,train,2,-25181.370000000326,-3.9255953524154226,-1.9627976762077113,-1.9627976762077113,0.0,0.0,0.0,2.7302301373629536,0,0.0,1.0,1.0,0.0,0.0,0.0,GLD,,,,,,2023-05
split_month_symbol,train,3,-27068.720000000394,-3.5309045418315494,-1.1769681806105166,-1.2172514803897951,0.0,0.0,0.0,1.809248409672526,0,0.0,1.0,1.0,0.0,0.0,0.0,GLD,,,,,,2023-06
