name,kind,delta_net,oos_net_return_pct,oos_total_trades,oos_avg_r,oos_win_rate,oos_dollar_profit_factor,oos_max_dd_pct
di_ma50_slope_0.04,perturbation,18.528220000000452,-6.446619999999413,16.0,-0.1600705757967155,0.3125,0.6567676973116408,11.788049999999464
di_ma50_slope_0.06,perturbation,18.528220000000452,-6.446619999999413,16.0,-0.1600705757967155,0.3125,0.6567676973116408,11.788049999999464
min_stop_atr_0.0,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
min_stop_atr_0.05,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
min_stop_atr_0.1,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
min_stop_atr_0.15,perturbation,-0.04477999999979332,-25.01961999999966,28.0,-0.5537009301594117,0.17857142857142858,0.2973919421819498,28.392689999999593
min_stop_atr_0.2,perturbation,0.8369700000009033,-24.137869999998962,28.0,-0.48454320696543274,0.21428571428571427,0.31951580432915544,27.552419999999085
t1_stop_0.0,perturbation,-0.2948300000000188,-25.269669999999884,28.0,-0.5583409771661234,0.17857142857142858,0.2887889496567462,28.3479099999998
t1_stop_0.1,perturbation,-0.2014399999999732,-25.17627999999984,28.0,-0.5554688041393184,0.17857142857142858,0.2914173971193198,28.3479099999998
t1_stop_0.2,perturbation,-0.09860999999998654,-25.073449999999852,28.0,-0.5523713545418169,0.17857142857142858,0.29431153195791354,28.3479099999998
t1_stop_0.4,perturbation,0.10626000000003799,-24.868579999999827,28.0,-0.5462072011340312,0.17857142857142858,0.3000775672042711,28.3479099999998
t1_stop_0.5,perturbation,0.20810000000000528,-24.76673999999986,28.0,-0.5431466057345707,0.17857142857142858,0.3029438386422032,28.3479099999998
t1_stop_0.75,perturbation,-2.4154199999999406,-27.390259999999806,30.0,-0.5900683397630382,0.16666666666666666,0.2714209258478998,29.05875499999977
max_hold_24,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
max_hold_28,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
max_hold_32,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
max_hold_44,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
max_hold_52,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
