name,classification,holdout_net,holdout_net_delta,holdout_trades,holdout_trades_delta,holdout_avg_r_delta,holdout_pf_delta,holdout_qqq_trades_delta,holdout_qqq_excellent_delta,train_net_delta,train_trades_delta,train_avg_r_delta,train_pf_delta,train_dd_delta,train_qqq_excellent_delta
gld_t1_090_stop050,reject_or_neutral,10.957150000000096,-0.040590000000198856,10.0,0.0,-0.00184819929281832,-0.009780116180852616,0.0,0.0,-29.34870500000207,4.0,-0.10735919271175809,-0.1974540695956133,-0.0005314371034330634,0.0
gld_mfe_trigger125,reject_or_neutral,5.9313900000003486,-5.066349999999947,10.0,0.0,-0.30931912749549595,-1.0256099638245466,0.0,0.0,-19.414185000000103,3.0,-0.0766709194133266,-0.0858090105960283,0.00043309857353079906,0.0
combo_gld_t1_floor,reject_or_neutral,4.897270000000558,-6.100469999999738,11.0,1.0,-0.43398560839561784,-1.2420681040498125,0.0,0.0,-18.91239499999965,10.0,-0.13460839448170314,-0.02268935990528753,-0.5402153484567336,0.0
combo_gld_t1_mfe,reject_or_neutral,5.752730000000141,-5.245010000000154,10.0,0.0,-0.3195359946876337,-1.0637119426665054,0.0,0.0,-24.35358499999866,4.0,-0.10845537611158662,-0.14293150638337826,0.000348838989117084,0.0
combo_gld_t1_partial70_mfe,reject_or_neutral,6.612820000000168,-4.384920000000127,10.0,0.0,-0.2665564201766034,-0.8825731871378926,0.0,0.0,-32.35305000000173,4.0,-0.16092077122856374,-0.2000806433097353,0.0005140794421585326,0.0
qqq_allow_valid_shorts,oos_boost_train_hurt,13.765980000000127,2.7682399999998317,11.0,1.0,0.02994302908374591,0.5435620155001044,1.0,1.0,-36.144014999998745,21.0,-0.15884232050183467,-0.5183416889585695,8.640187219677166,7.0
qqq_allow_valid_shorts_score10,oos_boost_train_hurt,13.765980000000127,2.7682399999998317,11.0,1.0,0.02994302908374591,0.5435620155001044,1.0,1.0,-39.287464999999216,24.0,-0.17826486086493398,-0.5493031151570602,9.05157062309884,8.0
qqq_entry_confirmation_close,reject_or_neutral,6.132860000000336,-4.8648799999999595,11.0,1.0,-0.2653162255935282,-1.5863106374709521,1.0,0.0,-27.8540550000007,5.0,-0.07034119770247849,-0.31982056466492814,5.141542107205879,-2.0
combo_qqq_short_context,oos_boost_train_hurt,3.450199999999822,-7.547540000000473,17.0,7.0,-0.4991797439554093,-2.0447956343860056,7.0,2.0,-34.752135000000564,23.0,-0.16647677715432174,-0.5155008328646056,8.64224717681456,8.0
combo_qqq_short_context_typeb,oos_boost_train_hurt,3.450199999999822,-7.547540000000473,17.0,7.0,-0.4991797439554093,-2.0447956343860056,7.0,2.0,-34.752135000000564,23.0,-0.16647677715432174,-0.5155008328646056,8.64224717681456,8.0
combo_qqq_supply_execution,oos_boost_train_hurt,3.450199999999822,-7.547540000000473,17.0,7.0,-0.4991797439554093,-2.0447956343860056,7.0,2.0,-34.752135000000564,23.0,-0.16647677715432174,-0.5155008328646056,8.64224717681456,8.0
combo_qs_gld_t1,oos_boost_train_hurt,13.571960000000166,2.5742199999998707,11.0,1.0,0.020666756560718813,0.5021284142134674,1.0,1.0,-51.95180499999789,24.0,-0.22103356961291215,-0.5945202695827254,7.73916794791921,7.0
qqq_allow_valid_shorts_score11,oos_boost_train_hurt,13.765980000000127,2.7682399999998317,11.0,1.0,0.02994302908374591,0.5435620155001044,1.0,1.0,-45.426225000000855,24.0,-0.19083760803760402,-0.5906490800408442,10.982169472056064,7.0
combo_qs_context_gld_t1,oos_boost_train_hurt,3.2748499999998315,-7.722890000000463,17.0,7.0,-0.5052565423026397,-2.0565904594770625,7.0,2.0,-50.67429499999804,26.0,-0.22769052458263128,-0.5913225618972606,7.7387477532227145,8.0
combo_qqq_short_context_score11,oos_boost_train_hurt,3.450199999999822,-7.547540000000473,17.0,7.0,-0.4991797439554093,-2.0447956343860056,7.0,2.0,-47.25170500000148,27.0,-0.20795713773417024,-0.615894791495508,10.981001816644834,8.0
combo_qqq_short_fibwide,oos_boost_train_hurt,11.226190000000017,0.2284499999997216,15.0,5.0,-0.2069459953591215,-1.0717964377239455,5.0,3.0,-73.70436999999933,48.0,-0.2924431387269165,-0.8331378095431947,10.785505627639939,15.0
combo_best_sensible_probe,oos_boost_train_hurt,-1.4437399999995395,-12.441479999999835,17.0,7.0,-0.6871902845735366,-2.378952884920333,7.0,2.0,-55.46844500000191,27.0,-0.2538635915042782,-0.6160698328924579,8.948066861706561,8.0
