option,name,split,cohort,stack,entry_model,daily_filter,note,signals,avg_r,total_r,profit_factor_r,hit1_rate,hit2_rate,stop_rate,avg_mfe_r,avg_mae_r,avg_stop_atr,avg_entry_delay_bars,avg_depth,orderly_rate
option2,daily_sma20_50_confirm,train,ALL,current,confirm_market,sma20_50,,15,0.3333333333333333,5.0,2.0,0.6666666666666666,0.06666666666666667,0.3333333333333333,1.1679016911882592,1.0100254699949986,0.3031805920693276,1.0,0.5527813582050585,0.8
option2,daily_sma20_50_confirm,train,QQQ,current,confirm_market,sma20_50,,9,0.5555555555555556,5.0,3.5,0.7777777777777778,0.0,0.2222222222222222,1.1034161193374057,0.9607894228096073,0.2982083024348323,1.0,0.5714320523548169,1.0
option2,daily_sma20_50_confirm,train,GLD,current,confirm_market,sma20_50,,6,0.0,0.0,1.0,0.5,0.16666666666666666,0.5,1.264630048964539,1.0838795407730852,0.3106390265210706,1.0,0.5248053169804208,0.5
option2,daily_sma20_50_confirm,oos,ALL,current,confirm_market,sma20_50,,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0875613745726594,1.4421873459030077,0.49412883651723094,1.0,0.6410256410256437,1.0
option2,daily_sma20_50_confirm,oos,QQQ,current,confirm_market,sma20_50,,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0875613745726594,1.4421873459030077,0.49412883651723094,1.0,0.6410256410256437,1.0
option2,daily_sma20_50_confirm,oos,GLD,current,confirm_market,sma20_50,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option2,daily_ret20_sma20_confirm,train,ALL,current,confirm_market,ret20_sma20,,19,0.05263157894736842,1.0,1.1111111111111112,0.5263157894736842,0.05263157894736842,0.47368421052631576,1.0183313989314475,1.2406568883108373,0.3451892768634794,1.0,0.5309418447450271,0.8947368421052632
option2,daily_ret20_sma20_confirm,train,QQQ,current,confirm_market,ret20_sma20,,12,0.3333333333333333,4.0,2.0,0.6666666666666666,0.0,0.3333333333333333,1.0687375357513456,0.9452802668622559,0.34561152325129113,1.0,0.5363266390549103,1.0
option2,daily_ret20_sma20_confirm,train,GLD,current,confirm_market,ret20_sma20,,7,-0.42857142857142855,-3.0,0.4,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.9319208786687658,1.74701681079412,0.34446542591294477,1.0,0.5217107687852275,0.7142857142857143
option2,daily_ret20_sma20_confirm,oos,ALL,current,confirm_market,ret20_sma20,,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0875613745726594,1.4421873459030077,0.49412883651723094,1.0,0.6410256410256437,1.0
option2,daily_ret20_sma20_confirm,oos,QQQ,current,confirm_market,ret20_sma20,,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0875613745726594,1.4421873459030077,0.49412883651723094,1.0,0.6410256410256437,1.0
option2,daily_ret20_sma20_confirm,oos,GLD,current,confirm_market,ret20_sma20,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option3,touch_ema20_market,train,ALL,current,value_touch_market,,,55,0.1379334672582942,7.586340699206181,1.3457489580316706,0.5272727272727272,0.10909090909090909,0.38181818181818183,1.1018552617178878,0.9103726533684735,0.4299272368623734,1.0,0.5921884708961503,0.9454545454545454
option3,touch_ema20_market,train,QQQ,current,value_touch_market,,,23,0.391304347826087,9.0,2.2857142857142856,0.6956521739130435,0.17391304347826086,0.30434782608695654,1.4037884350121481,0.7906865367728346,0.34740263972075613,1.0,0.5759797967573016,1.0
