name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score
combo_balanced__geom125__adx15,balanced_geometry_combination,254.63143284232757,31734.719999999994,55.12473366477273,1.9201744852950549,0.11257307836880368,53.069385853890644,2591.6600000000058,53.265625,3.6101135024624194,0.019708121207132053,True,True,False,1.0105963714725077
combo_balanced__geom125__flow8,balanced_geometry_combination,256.1637106606279,31004.569999999992,55.03826349431818,1.9040991353129018,0.10885578771059365,53.585635485263744,2569.910000000005,54.7875,3.4711148291313365,0.018911365656267883,True,True,False,1.0091291241995648
combo__signal_geometry__quality_risk_restore,orthogonal_combination,246.24237596834416,29424.339999999993,54.389737215909086,1.9240778799215117,0.10669410840283525,54.20551909069329,2575.7600000000057,54.280208333333334,3.664983652692144,0.01865082031902902,True,True,False,1.0071385338478571
quality__size_floor_0p7,signal_quality_sizing,268.126823803596,29009.829999999994,56.162375710227266,1.8929426032461314,0.11197563064339137,51.9768248795598,2568.5300000000066,56.309375,3.490695757575774,0.018448047436356477,True,True,False,1.0070900394994267
combo__signal_quality_sizing__exit_logic,orthogonal_combination,250.49153957618853,29039.0,56.42178622159091,1.8856458819403144,0.10740965888808583,51.45523083951172,2650.6700000000064,56.81666666666667,3.6405040593714344,0.017045034322266134,True,True,False,1.0061445963797016
combo__signal_geometry__signal_quality_sizing__score_discrimination,orthogonal_combination,247.40801685142065,28756.109999999993,54.60591264204545,1.915993965599072,0.1021195338061768,54.438813346261895,2516.0600000000054,54.7875,3.7195062635783036,0.018370684349912295,True,True,False,1.0060591373992904
combo__signal_geometry__exit_logic,orthogonal_combination,242.32635798154257,29929.05,54.34650213068181,1.8940383107426904,0.10350989070658675,55.16627212888585,2561.3200000000047,54.280208333333334,3.5385743736124398,0.018923355569225454,True,True,False,1.0052717982385784
reclaim__or_avwap__rvol_2p25,entry_expansion,261.3012690262311,31755.15000000001,65.80379971590908,1.7581883597924026,0.1357600198566698,47.3086622380378,2841.480000000006,59.86041666666667,3.3873569592176374,0.014075349209906338,False,True,False,1.0046766556253184
geometry__breakout_cap_1p0,signal_geometry,266.59640577475534,30141.12,52.27121803977273,1.9148476625812676,0.12027117007378041,53.35169723671102,2610.160000000005,51.23645833333334,3.543024162120042,0.019704944540993866,True,True,False,1.0035091907763833
combo__signal_geometry__signal_quality_sizing,orthogonal_combination,245.80131938921835,28436.30999999999,54.69238281249999,1.9147961419160322,0.10363015798731669,54.44689840103812,2507.4100000000053,54.7875,3.681607203969895,0.018342648997216184,True,True,False,1.0027236694343395
combo__signal_geometry__quality_risk_restore__exit_logic,orthogonal_combination,239.4323528898597,29145.979999999996,54.60591264204545,1.9100468668525514,0.10101129815875975,54.063915902697175,2567.720000000005,55.29479166666667,3.6175316268591358,0.016892896236838657,True,True,False,1.0022904133651263
score__adx_threshold_15,score_discrimination,258.1286486470419,31823.980000000003,56.46502130681818,1.9037183273135574,0.11727769398035721,50.52097479706599,2616.070000000007,55.29479166666667,3.399359820970006,0.019689481380962277,True,True,False,1.0016353472216912
exit__mfe_conviction_off,exit_logic,266.39625894736247,31202.24,55.816495028409086,1.8973657017514343,0.11942598939286705,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,False,1.0012874704668462
quality__size_floor_0p8,signal_quality_sizing,247.27233515638852,30336.7,56.292080965909086,1.89340574810403,0.11877677247131348,51.15492228582386,2664.3200000000065,55.802083333333336,3.4740184971957233,0.019742375320103506,True,True,False,1.0003842449966436
score__adx_threshold_12,score_discrimination,260.2361711707621,31682.99,56.03267045454545,1.9124494103477778,0.11792133745651437,50.52097479706599,2591.410000000007,55.29479166666667,3.387010307379141,0.019733757837091515,True,True,False,1.0002402620396746
control__balanced_rvol170_or9_trail004,control,265.2286517297941,31031.81,55.85973011363636,1.8911238273991242,0.11942598939286705,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,True,1.0
score__six_plus_size_1p0,score_discrimination,265.2286517297941,31031.81,55.85973011363636,1.8911238273991242,0.11942598939286705,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,True,1.0
exit__flow_require_below_entry,exit_logic,265.2286517297941,31031.81,55.85973011363636,1.8911238273991242,0.11942598939286705,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,True,1.0
exit__adaptive_tighten_20,exit_logic,265.2286517297941,31031.81,55.85973011363636,1.8911238273991242,0.11942598939286705,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,True,1.0
exit__mfe_check_12,exit_logic,264.01219866319207,31027.65999999998,55.94620028409091,1.8925062937513513,0.11887990849624297,50.330387476957085,2610.900000000008,55.802083333333336,3.34157234847807,0.019714765100671123,True,True,False,0.9996102819971375
exit__mfe_check_20,exit_logic,260.4006005942866,31443.770000000004,55.73002485795454,1.903611656802081,0.11942598939286705,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,False,0.9989460159323595
combo__signal_geometry__signal_quality_sizing__exit_logic,orthogonal_combination,245.36998881112356,28191.739999999994,54.82208806818181,1.9026319109193466,0.09829543811625947,54.063915902697175,2497.140000000004,55.29479166666667,3.6295648877469433,0.01678623114571174,True,True,False,0.9986881404513923
capacity__max_positions_7,capacity,266.83061448409126,30703.46,56.33531605113636,1.8762890628902005,0.11936883024865809,50.21807709189291,2602.4700000000075,55.802083333333336,3.3218303639137616,0.019729031626711562,True,True,False,0.9984051496883957
exit__flow_hold_10,exit_logic,261.1136013894734,30668.120000000003,56.07590553977272,1.8813192263801595,0.11960604982263748,50.63829027342484,2617.1400000000067,55.29479166666667,3.3717794190946724,0.019234594831903054,True,True,False,0.9981900495702468
selection__long_count_25,selection_expansion,257.7344665001673,31492.24000000001,56.85413707386363,1.8765692368071658,0.11966696439147402,52.15752574066969,2553.3500000000063,54.280208333333334,3.289117201438022,0.019707817013909418,True,True,False,0.9979983593374087
exit__quick_4_min_m0p25,early_exit,227.01540360707492,26691.890000000003,57.589133522727266,1.7881078837096143,0.10052928336992586,52.75501782988097,2757.600000000007,59.353125000000006,3.4226663738194785,0.02378933044635461,False,True,False,0.9969800991553976
quality__size_floor_0p75,signal_quality_sizing,260.4861490837475,29807.989999999994,56.11914062499999,1.8954201323604907,0.11553851230091997,50.5598394515088,2601.590000000007,55.29479166666667,3.430143384241761,0.019287103915561463,True,True,False,0.9965093219824471
capacity__max_positions_8,capacity,262.4045524463996,30677.87999999999,56.20561079545454,1.876568710677761,0.11936883024865809,50.21807709189291,2602.4700000000075,55.802083333333336,3.3218303639137616,0.019729031626711562,True,True,False,0.995842492673449
exit__flow_reversal_off,exit_logic,258.38735624143953,30978.05,56.03267045454545,1.8842259068238962,0.11987609656373613,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,False,0.9958174284983373
quality__size_floor_0p7__risk_0p00723,quality_risk_restore,255.86394392274218,29813.849999999995,56.07590553977272,1.8942122455565849,0.11560212719599089,50.5598394515088,2616.690000000007,55.29479166666667,3.4581168800669015,0.0186221645653249,True,True,False,0.995748613315193
combo_balanced__geom125__quality070,balanced_geometry_combination,247.6550015342686,28972.89999999999,55.16796874999999,1.910929621145285,0.10748238017016562,53.01421474286719,2487.0200000000054,54.7875,3.6063381610110983,0.018373167888074242,True,True,False,0.9954071113188747
exit__flow_hold_16,exit_logic,255.92905761929347,31016.999999999996,56.03267045454545,1.886831423973869,0.11966363320365438,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,False,0.9949071361244791
score__adx_threshold_17,score_discrimination,250.42315184653663,31013.630000000005,56.46502130681818,1.8895332461782655,0.12000526521937445,50.52097479706599,2623.510000000007,55.29479166666667,3.4061835057597927,0.019690847778257543,True,True,False,0.9948674552558977
combo_balanced__geom125__quality070__flow8,balanced_geometry_combination,252.06328789816268,29098.069999999992,55.03826349431818,1.9093189499325776,0.10194839048639102,52.631232244526245,2471.0500000000043,55.29479166666667,3.5537401045865176,0.016714783672459044,True,True,False,0.9946981834654064
